YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1883,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,6.14,0.67,999.90,999.90,999.90,999.90,999.90
1884,-8.17,-2.75,-1.29,4.53,11.70,19.46,18.73,20.15,18.70,11.12,3.24,-1.29,-3.42,4.98,19.45,11.02,8.01
1885,-6.53,-9.91,-6.50,4.72,12.24,16.19,21.31,18.44,15.64,9.96,4.78,-0.69,-5.91,3.49,18.65,10.13,6.59
1886,-5.54,-4.56,-0.07,8.31,12.03,17.49,20.11,19.57,17.28,11.15,3.17,-4.40,-3.60,6.76,19.06,10.53,8.19
1887,-5.64,-3.37,-2.16,4.65,17.24,19.55,24.46,20.49,15.39,9.06,3.73,-0.40,-4.47,6.58,21.50,9.39,8.25
1888,-7.69,-4.37,-3.16,4.11,12.53,18.64,20.46,20.33,15.33,7.55,4.87,-0.51,-4.15,4.49,19.81,9.25,7.35
1889,-1.29,-7.43,1.03,6.45,12.91,17.08,21.55,20.02,17.27,7.49,4.81,3.14,-3.08,6.80,19.55,9.86,8.28
1890,0.30,-0.27,-1.42,6.60,11.37,19.58,21.30,19.11,15.72,10.14,4.11,-3.57,1.06,5.52,20.00,9.99,9.14
1891,-2.55,-0.88,-0.47,6.49,11.01,18.97,18.89,20.16,18.61,10.12,4.00,2.52,-2.33,5.68,19.34,10.91,8.40
1892,-5.32,-2.19,-1.99,5.13,11.55,19.41,21.38,21.20,16.85,10.16,2.39,-2.83,-1.66,4.90,20.66,9.80,8.42
1893,-8.77,-6.15,-0.83,4.87,11.65,19.86,21.37,20.55,15.70,11.92,4.33,-2.59,-5.92,5.23,20.59,10.65,7.64
1894,-1.13,-5.31,3.75,7.17,12.64,18.80,21.72,19.59,18.53,12.06,2.03,0.39,-3.01,7.85,20.04,10.87,8.94
1895,-5.49,-8.87,-2.91,6.95,13.53,20.54,20.16,20.53,18.13,999.90,999.90,999.90,-4.66,5.86,20.41,999.90,7.90
1896,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1897,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
